shots_ontarget_win,shots_ontarget_lost,shots_offtarget_win,shots_offtarget_lost,shotsblocked_win,shotsblocked_lost,chances2score_win,chances2score_lost,drib_success_win,drib_success_lost,drib_unsuccess_win,drib_unsuccess_lost,keypasses_win,keypasses_lost,owngoals_win,owngoals_lost,dangmistakes_win,dangmistakes_lost,ycards_win,ycards_lost,rcards_win,rcards_lost,interceptions_win,interceptions_lost,Predicted_Value,fixture_id
3.0,4.0,8.0,3.0,6.9999995,2.0,5.0,4.0,7.0,0.99999976,7.0,1.9999999,0.99999994,3.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,1.0,2.0,4.982384e-10,-1.5483717e-09,18.0,23.0,0.9711628,1711102
4.0,4.0,3.0,9.0,1.0,5.0,5.0,11.0,9.0,3.0,9.0,0.99999994,0.99999994,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,3.0,1.0,2.0,4.982384e-10,-1.5483717e-09,30.0,9.0,0.01844601,1710948
3.0,4.0,6.0,8.0,2.0,2.0,7.0,7.0,2.0,10.0,10.0,7.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,1.0,1.0,2.0,1.0,4.982384e-10,-1.5483717e-09,25.0,24.0,0.0039837076,1710957
2.0,2.0,2.0000002,11.0,1.0,6.0,2.0000002,7.0,2.0,7.0,4.0,3.0,1.923047e-07,3.0,1.0,-2.7594743e-10,1.0,1.0,1.0,1.0,4.982384e-10,-1.5483717e-09,17.0,16.0,0.9938274,1711097
3.0,5.0,14.0,4.0,6.9999995,-6.181222e-08,13.0,5.0,9.0,1.9999998,4.0,3.0,5.0,0.99999994,-1.8396495e-10,-2.7594743e-10,6.0,1.1283184e-08,2.0,4.0,4.982384e-10,0.99999994,24.0,20.0,0.003175966,1710912
4.0,7.0,3.0,6.0,1.0,4.0,9.0,8.0,7.0,7.0,2.0,3.0,5.0,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,2.0,3.0,4.982384e-10,-1.5483717e-09,20.0,23.0,0.004440175,1710840
2.0,3.0,2.0000002,8.0,1.0,5.0,3.0000002,5.0,1.0000002,11.0,2.0,7.0,2.0,5.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,2.0,1.0,4.982384e-10,-1.5483717e-09,18.0,16.0,0.02292661,1710975
1.0000001,5.0,4.0,6.0,3.0,2.0,4.0,9.0,1.0000002,4.0,1.0000002,1.9999999,0.99999994,6.0,-1.8396495e-10,-2.7594743e-10,9.0,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,24.0,12.0,0.0035404926,1710964
6.0,9.0,7.0,8.0,3.0,0.99999994,5.0,12.0,8.0,4.0,3.0,6.0,2.0,8.0,-1.8396495e-10,1.0,-9.075604e-09,1.1283184e-08,1.0,2.0,4.982384e-10,-1.5483717e-09,12.999999,24.0,0.995203,1711180
3.0,7.0,2.0000002,9.0,1.393228e-07,7.0,6.0,10.0,6.0,4.0,4.0,8.0,2.0,4.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,1.0,2.0,1.0,-1.5483717e-09,27.0,27.0,0.003379799,1710808
3.0,3.0,6.0,2.0,3.0,2.0,3.0000002,2.0,7.0,8.0,6.0,7.0,0.99999994,0.99999994,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,2.0,4.0,4.982384e-10,-1.5483717e-09,15.0,38.0,0.020586055,1710884
8.0,3.0,4.0,7.0,1.0,3.0,10.0,6.0,6.0,1.9999998,3.0,5.0,5.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,2.0,1.0,4.982384e-10,0.99999994,18.0,11.0,0.9919871,1710980
