fixture_id,goals_win,assists_win,shots_ontarget_win,shots_offtarget_win,shotsblocked_win,chances2score_win,drib_success_win,drib_unsuccess_win,keypasses_win,passes_acc_win,passes_inacc_win,crosses_acc_win,crosses_inacc_win,lballs_acc_win,lballs_inacc_win,grduels_w_win,grduels_l_win,aerials_w_win,aerials_l_win,poss_lost_win,fouls_win,wasfouled_win,clearances_win,stop_shots_win,interceptions_win,tackles_win,dribbled_past_win,tballs_acc_win,tballs_inacc_win,ycards_win,rcards_win,dangmistakes_win,countattack_win,offsides_win,goals_ag_otb_win,goals_ag_itb_win,saves_itb_win,saves_otb_win,saved_pen_win,missed_penalties_win,owngoals_win,p1,p2,goals_lost,assists_lost,shots_ontarget_lost,shots_offtarget_lost,shotsblocked_lost,chances2score_lost,drib_success_lost,drib_unsuccess_lost,keypasses_lost,passes_acc_lost,passes_inacc_lost,crosses_acc_lost,crosses_inacc_lost,lballs_acc_lost,lballs_inacc_lost,grduels_w_lost,grduels_l_lost,aerials_w_lost,aerials_l_lost,poss_lost_lost,fouls_lost,wasfouled_lost,clearances_lost,stop_shots_lost,interceptions_lost,tackles_lost,dribbled_past_lost,tballs_acc_lost,tballs_inacc_lost,ycards_lost,rcards_lost,dangmistakes_lost,countattack_lost,offsides_lost,goals_ag_otb_lost,goals_ag_itb_lost,saves_itb_lost,saves_otb_lost,saved_pen_lost,missed_penalties_lost,owngoals_lost
1710856,2,1,6,3,2,6,8,10,5,246,70,9,20,43,33,48,48,29,38,149,13,13,14,9,33,19,5,0,4,3,0,2,4,4,1,2,0,3,0,1,0,0,1,3,2,5,17,9,10,7,8,6,358,87,5,6,40,32,49,53,43,29,140,14,13,27,2,24,19,8,1,3,3,0,4,40,1,0,2,4,1,1,0,0
1711081,2,2,7,7,4,11,11,4,1,220,89,5,8,19,22,47,51,32,17,146,9,11,20,3,39,18,7,3,5,1,0,0,5,5,0,0,0,0,0,0,0,1,0,1,1,2,7,2,5,8,3,2,210,69,3,11,26,20,42,42,18,21,116,11,9,14,3,32,17,10,1,5,1,0,1,8,2,0,0,0,0,0,0,0
1710967,0,0,8,4,3,10,3,3,3,320,49,6,14,17,10,33,42,14,7,93,12,12,7,1,32,9,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,2,5,6,4,2,415,63,8,8,28,31,45,34,10,9,112,12,10,9,3,27,15,4,1,6,1,0,1,6,2,0,0,3,5,0,0,0
1711123,3,2,7,4,2,7,7,4,4,540,70,3,10,16,25,25,26,20,19,126,10,7,20,2,22,9,1,1,5,1,1,1,26,1,0,2,3,3,0,0,0,1,0,2,0,7,2,0,5,3,2,5,207,53,6,13,37,18,19,24,19,13,98,7,12,12,3,26,6,5,2,2,1,1,0,14,2,0,3,1,3,0,0,0
1711040,1,0,2,1,0,1,3,2,0,154,42,0,5,27,13,35,16,15,14,78,4,7,22,4,24,13,1,0,2,0,0,0,9,1,0,0,1,3,0,0,0,1,0,0,0,3,15,5,13,3,3,5,596,62,9,14,19,23,32,43,17,20,124,10,3,12,0,18,15,2,4,8,2,0,0,5,0,0,0,0,0,0,0,0
1710994,1,2,4,5,3,7,7,0,2,393,44,1,4,18,15,29,27,14,16,74,6,9,14,4,11,11,7,2,2,1,0,1,10,1,0,0,0,0,0,0,0,1,0,2,2,2,13,4,5,8,9,2,237,51,8,16,26,20,52,62,23,27,111,13,6,17,4,34,13,13,0,3,1,0,0,26,1,0,0,0,0,0,0,0
1710919,1,1,5,7,2,9,6,3,3,251,49,7,8,33,22,30,40,15,18,93,8,9,35,5,28,13,7,1,1,1,0,0,5,1,0,4,3,0,0,0,0,0,1,4,4,7,8,2,8,6,4,2,411,62,9,21,41,27,39,30,16,13,116,9,8,7,0,9,7,5,3,14,1,0,0,11,1,0,1,1,3,0,0,0
1710883,2,0,3,4,2,4,2,2,3,195,65,6,12,32,27,33,49,18,13,112,15,13,19,6,31,10,9,0,1,2,0,0,6,2,0,5,5,4,0,0,0,0,1,3,1,8,9,4,12,5,1,2,398,66,3,5,25,27,30,27,15,13,95,12,10,10,2,13,11,2,2,8,1,0,1,18,0,1,1,0,1,0,0,0
1710921,0,0,1,5,0,7,3,3,2,269,39,4,13,36,15,43,43,15,5,72,11,8,12,2,16,18,11,4,0,1,0,0,8,1,0,0,0,0,0,0,0,0,1,3,0,4,2,1,2,7,4,0,252,30,4,10,12,11,32,23,11,9,59,3,7,8,0,7,10,1,0,1,1,0,0,8,0,0,0,0,0,0,0,0
1711049,2,3,8,7,1,12,3,3,2,459,51,4,21,20,17,34,26,12,7,100,9,7,4,1,15,12,3,5,5,1,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,3,4,0,113,39,1,1,16,15,23,35,7,12,66,10,7,6,1,20,13,6,0,0,2,0,2,2,0,0,3,5,3,0,0,0
1711076,1,1,4,7,3,9,3,2,3,418,59,4,25,18,12,30,24,10,19,128,3,7,11,0,17,12,2,3,11,0,0,4,10,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,3,3,0,115,45,2,8,25,22,28,33,15,11,94,11,5,25,3,41,16,2,1,1,0,0,3,11,0,0,1,4,0,0,0,0
1711159,0,1,1,4,3,4,2,1,2,119,20,4,4,3,3,27,15,13,7,45,3,6,6,1,10,3,3,1,4,1,0,0,20,2,0,0,0,0,0,0,0,1,0,0,0,3,4,2,5,2,4,1,421,42,7,16,18,12,24,40,9,17,82,13,5,9,3,20,6,3,1,1,0,0,0,8,1,0,1,0,1,0,0,0
1711169,2,1,2,12,6,6,18,6,3,322,73,2,10,32,38,49,31,23,17,116,13,18,9,3,20,11,6,3,5,2,0,1,37,2,1,0,0,0,0,0,0,1,0,1,0,0,5,2,3,6,3,3,158,70,7,9,23,21,29,47,17,18,128,21,12,13,5,24,10,15,0,1,5,0,1,15,2,0,0,0,0,0,0,0
1711033,4,1,7,3,2,6,12,3,0,234,30,2,8,12,4,40,23,6,11,70,0,10,4,2,9,4,5,3,2,0,0,2,30,0,0,0,0,0,0,0,0,1,0,0,0,3,5,2,6,9,4,1,230,43,5,12,19,16,26,33,14,8,71,11,3,12,2,16,8,8,0,8,3,0,2,4,2,0,4,2,4,0,0,0
1710939,0,0,1,3,0,4,13,4,2,360,57,6,23,33,32,42,31,23,19,111,6,14,9,1,17,11,8,1,2,1,0,3,2,0,1,3,1,0,1,1,0,0,1,4,2,5,5,1,4,10,4,1,320,52,7,12,20,18,44,57,24,27,100,17,6,20,0,23,16,10,0,2,2,0,0,3,2,0,0,0,0,0,1,0
1711015,2,1,6,15,7,10,3,3,5,454,53,5,8,22,14,37,43,16,13,101,10,10,9,6,15,10,11,6,13,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,10,6,6,12,5,4,246,51,9,14,26,27,47,32,14,20,103,11,10,11,7,21,10,3,1,1,2,0,1,2,1,2,0,2,2,0,0,0
1711099,2,2,4,7,1,8,3,4,3,589,60,7,7,29,16,30,21,14,10,96,6,5,2,2,16,8,2,5,2,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2,3,4,0,160,51,1,5,30,22,22,32,14,15,80,5,6,6,2,28,9,2,1,0,1,0,0,2,2,0,2,1,3,0,0,0
1710899,0,0,4,9,5,6,4,2,1,340,79,5,8,20,26,26,32,14,18,120,13,10,13,2,25,9,6,4,7,0,0,0,0,1,0,1,2,1,0,0,0,0,1,1,1,3,6,2,6,10,6,2,240,77,4,14,24,35,40,30,30,15,134,10,12,20,5,29,12,4,5,12,0,0,0,2,1,0,0,0,0,0,0,0
1710973,0,0,2,5,3,3,5,4,1,165,57,5,9,30,25,39,40,33,20,101,7,9,23,7,37,10,19,2,8,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,11,4,10,14,4,4,438,51,1,2,31,13,30,29,19,26,84,10,6,7,2,19,11,3,3,0,2,0,1,23,1,0,0,2,0,0,0,0
1710901,2,1,3,2,2,1,9,6,1,140,62,2,4,34,31,23,33,8,13,97,10,5,12,1,32,9,6,3,6,2,0,0,6,3,1,2,1,1,0,0,0,0,1,2,2,4,8,0,11,8,1,3,586,51,5,7,16,9,34,26,13,4,85,6,10,4,1,14,8,8,5,9,2,0,0,35,0,0,0,0,0,0,0,0
1711032,4,3,11,2,2,8,3,2,1,573,52,4,4,25,22,42,38,26,15,94,5,8,11,1,13,20,4,2,7,0,0,2,42,2,0,1,2,2,0,0,0,1,0,1,1,5,4,2,5,4,3,2,342,57,3,17,34,22,42,52,17,17,109,8,6,4,4,23,14,6,0,6,0,0,1,27,1,0,4,5,3,0,0,0
